Table,Year,Rcode,Demographic,Description,Est1,Est2,Est3,Est4,Est5,Est6,Est7,Est8,Est9,Est10,Est11,DQF1,DQF2,DQF3,DQF4,DQF5,DQF6,DQF7,DQF8,DQF9,DQF10,DQF11,RSE1,RSE2,RSE3,RSE4,RSE5,RSE6,RSE7,RSE8,RSE9,RSE10,RSE11,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
T9,2009,HHC02,Household Composition,Couple with one dependent child,2.5,,8.4,10.9,16.1,13,21.4,14.7,16.6,16.2,121.4,**,S,**,*,*,*,*,**,*,*,,86.7,,71.4,45.9,40.8,45.9,51,56.1,45.9,40.8,15.3,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHC03,Household Composition,Couple with two dependent children,3,2.5,8.4,14.7,16.9,18.2,19.6,19.3,17.7,14.8,135.2,**,**,**,*,*,*,*,*,*,*,,91.8,96.9,76.5,35.7,45.9,35.7,35.7,45.9,45.9,40.8,10.2,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHC04,Household Composition,Couple with three or more dependent children,2.5,4.6,2.8,7.9,9.3,14,10.3,5.2,11.1,9.7,77.5,**,**,**,**,**,**,**,**,**,*,,91.8,81.6,81.6,56.1,56.1,56.1,56.1,66.3,76.5,45.9,15.3,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHC05,Household Composition,All other 'couples with child(ren) only' households,,3.8,4.7,4.4,8.2,12,14.4,17,26.4,38.3,131.8,S,**,**,**,***,*,*,**,*,*,,,71.4,81.6,86.7,102,51,45.9,66.3,35.7,25.5,15.3,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHC06,Household Composition,One parent with dependent child(ren) only,10.5,20.2,24.7,17.5,10.5,5,3,,,,94,*,*,*,*,*,**,***,S,S,S,,45.9,30.6,35.7,35.7,40.8,61.2,122.4,,,,15.3,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHC07,Household Composition,All other 'one parent with child(ren) only' households,,2.7,6.4,7.7,12,11.3,5.3,3.4,1.9,,51.9,S,***,**,**,**,**,**,**,**,S,*,,107.1,66.3,56.1,51,56.1,66.3,96.9,91.8,,25.5,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHC08,Household Composition,Other one-family households,5.1,5,10.9,6.5,7.1,7.8,13.1,13.4,16.4,13.9,99.2,**,**,**,**,**,**,*,*,*,*,,61.2,71.4,81.6,66.3,51,61.2,51,40.8,45.9,40.8,15.3,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHC09,Household Composition,One-person household,114.8,79.6,41.8,39.8,29.6,15.3,12.5,11.2,8,3.8,356.3,,,*,*,*,*,*,**,**,**,,15.3,20.4,20.4,25.5,30.6,51,40.8,51,56.1,91.8,5.1,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHC10,Household Composition,All other households,3.8,,2.9,7.9,13,12.3,11.2,15.5,14.6,16.4,99.6,**,S,**,**,*,**,**,**,**,*,,96.9,,96.9,61.2,45.9,51,56.1,51,56.1,40.8,15.3,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHS01,Household Size,One person household,114.8,79.6,41.8,39.8,29.6,15.3,12.5,11.2,8,3.8,356.3,,,*,*,*,*,*,**,**,**,,15.3,20.4,20.4,25.5,30.6,51,40.8,51,56.1,91.8,5.1,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHS02,Household Size,Two person household,22.1,50.6,69.2,58.2,51.2,59.6,57.2,62.8,51.2,49.6,531.8,*,*,,*,,*,,*,*,,,35.7,25.5,20.4,20.4,20.4,20.4,20.4,25.5,25.5,20.4,5.1,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHS03,Household Size,Three person household,12.2,14.4,26.8,25.8,33.3,33.8,38.4,40.4,39.4,36.8,301.3,*,*,**,*,*,*,*,*,*,*,,40.8,35.7,51,30.6,35.7,35.7,30.6,35.7,30.6,30.6,10.2,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHS04,Household Size,Four person household,5.1,6.8,15.3,23.7,27.3,26.1,30.8,31.3,30.7,37,234.3,**,**,**,*,*,*,*,*,*,*,,66.3,56.1,51,30.6,30.6,30.6,30.6,35.7,35.7,30.6,10.2,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHS05,Household Size,Five or more person household,5.7,7.9,7.1,12.5,17.7,24.7,20.5,14,29.6,33.3,173,**,**,**,*,*,*,*,*,*,*,,56.1,56.1,56.1,40.8,40.8,40.8,35.7,40.8,30.6,25.5,10.2,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHT01,Tenure,Total for Dwelling owned or partly owned by usual resident(s),72.9,77.6,86,79.6,76.2,91.6,92.1,93,97.3,92.8,859,*,,,,*,,,,,,,25.5,15.3,20.4,20.4,20.4,20.4,20.4,20.4,15.3,15.3,5.1,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHT03,Tenure,Owned: Who make mortgage payments,17.1,12,31.8,34.9,41.5,51.5,61.7,66.4,63,60.9,440.8,*,**,*,*,*,*,,*,*,*,,51,51,35.7,25.5,25.5,25.5,20.4,20.4,20.4,20.4,5.1,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHT04,Tenure,Owned: Who do not make mortgage payments,55.8,65.6,54.2,44.6,34.6,40.1,30.4,26.7,34.3,31.9,418.2,*,,,*,*,*,*,*,*,*,,20.4,15.3,20.4,30.6,40.8,25.5,30.6,35.7,30.6,25.5,5.1,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHT05,Tenure,Total for Dwelling not owned by usual resident(s),72.8,61.7,54.6,59.6,62.1,49.2,51.3,49,30.8,26.6,517.8,,,,,*,*,*,*,*,*,,15.3,20.4,20.4,20.4,20.4,25.5,25.5,35.7,30.6,30.6,5.1,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHT06,Tenure,Not owned: Rental arrangements not further defined,,,,,,,,,,,,,S,,,,,,,,,S,,,,,,,,,,,,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHT07,Tenure,Not owned: Who make rent payments,66.4,57.9,52.7,57.4,56.5,45.6,50.6,48.1,30.4,26.6,492.2,,,,,*,*,*,*,*,*,,20.4,20.4,20.4,20.4,25.5,25.5,25.5,35.7,30.6,30.6,5.1,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHT08,Tenure,Not owned: Who do not make rent payments,6.4,3.6,,2.2,5.7,3.6,,,,,25.3,**,**,S,***,**,***,S,S,S,,*,76.5,86.7,,122.4,96.9,137.7,,,,,35.7,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHT09,Tenure,Total for Dwelling held in a family trust by usual resident(s),14.3,20,19.6,20.8,20.7,18.8,16,17.7,31,41.1,219.9,**,*,*,*,*,*,*,*,*,*,,56.1,51,45.9,35.7,30.6,45.9,45.9,45.9,30.6,30.6,10.2,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHT11,Tenure,Family trust: Who make mortgage payments,5,,4,3.9,11.4,7.8,11.1,10,14.9,22.6,91.7,**,S,***,**,*,**,**,**,*,*,,91.8,,122.4,76.5,45.9,81.6,56.1,71.4,40.8,40.8,20.4,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHT12,Tenure,Family trust: Who do not make mortgage payments,9.3,18.9,15.7,16.9,9.2,11.1,4.9,7.7,16,18.5,128.2,**,**,*,*,**,**,**,*,**,*,,51,51,45.9,35.7,56.1,51,71.4,40.8,51,35.7,15.3,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2010,HH999,Total all households,Total all households,159.6,162.3,160.6,161.1,159.9,161.5,160.6,160.4,160.9,160.7,1607.7,,,,,,,,,,,,10.2,15.3,15.3,15.3,15.3,10.2,15.3,15.3,15.3,15.3,0,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHC01,Household Composition,Couple only,15.4,29.7,54.7,43.1,36,51.1,45.3,49.7,45.3,46.6,417,*,*,,*,*,*,*,*,*,*,,45.9,30.6,20.4,20.4,25.5,20.4,25.5,25.5,25.5,25.5,5.1,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHC02,Household Composition,Couple with one dependent child,4.2,7.4,4.3,13.7,10.6,15.5,19.5,13.5,15.7,15.7,120.2,**,**,**,*,*,*,*,*,*,*,,86.7,56.1,86.7,51,45.9,40.8,40.8,51,40.8,45.9,15.3,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHC03,Household Composition,Couple with two dependent children,3.6,4.3,4.6,11,14.4,21.3,27.2,23.6,22.1,19.4,151.5,**,**,**,**,*,*,*,*,*,**,,76.5,81.6,91.8,56.1,45.9,40.8,35.7,35.7,30.6,51,10.2,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHC04,Household Composition,Couple with three or more dependent children,3.5,,9.9,5.3,10.4,11.6,11.5,8.2,8.2,6.9,76.9,**,S,**,**,*,**,**,**,**,**,,76.5,,76.5,76.5,51,51,56.1,61.2,61.2,56.1,20.4,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHC05,Household Composition,All other 'couples with child(ren) only' households,,,,8.7,17.9,10.8,15,28.3,27.8,29.6,144.4,S,S,S,**,**,**,**,*,*,*,,,,,66.3,56.1,56.1,51,35.7,35.7,35.7,15.3,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHC06,Household Composition,One parent with dependent child(ren) only,11.7,28.9,16.7,10.1,10,4.9,4.2,,,,88.8,**,*,*,*,**,**,**,S,S,S,,56.1,40.8,45.9,45.9,51,66.3,71.4,,,,15.3,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHC07,Household Composition,All other 'one parent with child(ren) only' households,4.2,3.9,11.3,7.6,8.4,5.9,4.2,3.9,3.2,,54.3,**,**,*,**,**,**,**,**,**,S,*,96.9,91.8,45.9,56.1,56.1,66.3,71.4,86.7,91.8,,20.4,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHC08,Household Composition,Other one-family households,4.7,5.9,5.3,10,9.4,12.9,11.8,12,13.1,12,97.1,**,**,**,**,**,*,*,**,*,**,,91.8,86.7,66.3,61.2,56.1,45.9,45.9,51,45.9,56.1,15.3,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHC09,Household Composition,One-person household,108.5,75.3,40.4,43.1,35.3,20.5,11.8,4.9,5,4.4,349.3,,,*,*,*,*,**,**,**,***,,15.3,20.4,30.6,30.6,30.6,40.8,56.1,81.6,76.5,102,5.1,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHC10,Household Composition,All other households,,2.2,12.4,8.5,7.6,7,10.1,16.1,19.2,23.5,108.3,S,***,**,**,**,**,**,**,*,*,,,107.1,61.2,66.3,71.4,61.2,56.1,56.1,40.8,35.7,15.3,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHS01,Household Size,One person household,108.5,75.3,40.4,43.1,35.3,20.5,11.8,4.9,5,4.4,349.3,,,*,*,*,*,**,**,**,***,,15.3,20.4,30.6,30.6,30.6,40.8,56.1,81.6,76.5,102,5.1,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHS02,Household Size,Two person household,26.9,55,71.8,57.1,52.6,64.2,56.1,56.3,49.7,49.4,539.2,*,*,,,*,,*,,*,*,,35.7,25.5,15.3,20.4,20.4,20.4,25.5,20.4,25.5,25.5,5.1,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHS03,Household Size,Three person household,12.4,19,21.3,31.5,29.4,28.2,38.1,39.2,34.8,37,290.9,**,*,*,*,*,*,*,*,*,*,,56.1,40.8,51,35.7,40.8,35.7,35.7,25.5,30.6,35.7,10.2,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHS04,Household Size,Four person household,7,10,10.2,18.7,22.2,31.5,33.7,37.7,47.6,43.5,262,**,**,**,*,*,*,*,*,*,*,,56.1,61.2,66.3,40.8,40.8,35.7,30.6,30.6,25.5,30.6,10.2,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHS05,Household Size,Five or more person household,4.7,3,16.9,10.8,20.3,17.1,21,22.3,23.7,26.4,166.3,**,***,*,**,*,*,*,*,*,*,,66.3,107.1,51,56.1,40.8,40.8,40.8,40.8,40.8,30.6,10.2,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHT01,Tenure,Total for Dwelling owned or partly owned by usual resident(s),72.1,70.2,75.6,70.6,78.6,83.9,87.1,86.3,94.3,88.7,807.4,,,,*,,,*,,,*,,20.4,20.4,15.3,20.4,15.3,20.4,20.4,20.4,15.3,25.5,5.1,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHT03,Tenure,Owned: Who make mortgage payments,18.5,18.3,19.5,34.9,45,45,63.8,57.4,61.8,58.8,423,*,*,*,*,*,*,*,*,*,*,,35.7,40.8,35.7,30.6,25.5,25.5,25.5,20.4,20.4,25.5,5.1,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHT04,Tenure,Owned: Who do not make mortgage payments,53.6,51.9,56.1,35.7,33.6,38.9,23.3,28.9,32.6,29.9,384.4,*,*,*,*,*,*,*,*,*,*,,25.5,25.5,20.4,30.6,30.6,30.6,45.9,40.8,30.6,40.8,5.1,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHT05,Tenure,Total for Dwelling not owned by usual resident(s),71.1,68.3,64.5,74.1,66.2,55.2,50.7,50.2,34.9,23.9,559.1,,,*,*,*,*,*,*,*,*,,20.4,20.4,25.5,20.4,25.5,25.5,25.5,25.5,30.6,35.7,5.1,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHT07,Tenure,Not owned: Who make rent payments,65.7,65.7,60.3,69.5,62.8,53,49,49.4,34.4,22.8,532.7,*,*,*,*,*,*,*,*,*,*,,25.5,20.4,25.5,20.4,25.5,25.5,25.5,25.5,30.6,35.7,5.1,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHT08,Tenure,Not owned: Who do not make rent payments,5.4,2.6,4.2,4.5,,,,,,,26.4,***,***,***,***,S,S,S,S,S,S,*,107.1,107.1,102,112.2,,,,,,,40.8,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHT09,Tenure,Total for Dwelling held in a family trust by usual resident(s),16.4,23.8,20.5,16.4,15.1,22.3,22.8,23.5,31.7,48.2,240.7,*,*,*,*,*,*,*,*,*,,,40.8,35.7,40.8,40.8,40.8,35.7,35.7,40.8,30.6,20.4,10.2,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHT10,Tenure,Family trust: Mortgage arrangements not further defined,,,,,,,,,,,,,,,S,,,,,,,S,,,,,,,,,,,,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHT11,Tenure,Family trust: Who make mortgage payments,3,3,3.4,2.6,5.4,11.7,12.7,13.3,21.3,24.4,100.7,**,**,**,***,**,**,*,**,*,*,,86.7,86.7,86.7,112.2,66.3,61.2,40.8,56.1,35.7,35.7,15.3,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2010,HHT12,Tenure,Family trust: Who do not make mortgage payments,13.4,20.8,17.1,13.1,9.7,10.7,10.1,10.2,10.4,23.8,139.3,*,*,*,**,**,**,*,**,**,*,,40.8,40.8,45.9,51,56.1,51,45.9,56.1,51,30.6,10.2,"Under   $20,100","$20,100 To   $29,199","$29,200 To   $39,899","$39,900 To   $51,799","$51,800 To   $63,599","$63,600 To   $76,599","$76,600 To   $92,299","$92,300 To  $110,999","$111,000 To  $149,099","$149,100 and Over"
T9,2011,HH999,Total all households,Total all households,162.7,161,162,162.2,161.8,160.7,162.5,163.7,160.4,162.2,1619.2,,,,,,,,,,,,10.2,15.3,10.2,15.3,10.2,15.3,10.2,15.3,10.2,15.3,0,"Under   $20,100","$20,100 To   $29,499","$29,500 To   $38,799","$38,800 To   $50,299","$50,300 To   $63,199","$63,200 To   $76,999","$77,000 To   $93,699","$93,700 To  $117,799","$117,800 To  $157,799","$157,800 and Over"
T9,2011,HHC01,Household Composition,Couple only,19.5,28.3,61.8,45.7,44.8,46,53.6,56.9,48.2,47,451.9,*,*,,*,*,*,*,*,*,*,,35.7,35.7,20.4,20.4,25.5,20.4,25.5,25.5,20.4,25.5,5.1,"Under   $20,100","$20,100 To   $29,499","$29,500 To   $38,799","$38,800 To   $50,299","$50,300 To   $63,199","$63,200 To   $76,999","$77,000 To   $93,699","$93,700 To  $117,799","$117,800 To  $157,799","$157,800 and Over"
T9,2011,HHC02,Household Composition,Couple with one dependent child,3.9,7.5,2.5,12.3,15.3,17.8,11.8,16.5,16.4,13.3,117.2,**,**,**,*,*,*,*,*,*,**,,76.5,66.3,96.9,45.9,40.8,40.8,40.8,40.8,40.8,61.2,15.3,"Under   $20,100","$20,100 To   $29,499","$29,500 To   $38,799","$38,800 To   $50,299","$50,300 To   $63,199","$63,200 To   $76,999","$77,000 To   $93,699","$93,700 To  $117,799","$117,800 To  $157,799","$157,800 and Over"
T9,2011,HHC03,Household Composition,Couple with two dependent children,3.1,,5.6,10.9,15.9,23.4,20.5,25.4,19,22.7,147.8,**,S,**,*,*,*,*,*,*,*,,96.9,,71.4,45.9,40.8,35.7,30.6,35.7,35.7,30.6,10.2,"Under   $20,100","$20,100 To   $29,499","$29,500 To   $38,799","$38,800 To   $50,299","$50,300 To   $63,199","$63,200 To   $76,999","$77,000 To   $93,699","$93,700 To  $117,799","$117,800 To  $157,799","$157,800 and Over"
T9,2011,HHC04,Household Composition,Couple with three or more dependent children,4.9,,4.3,7.7,9.1,8.3,9.4,8.1,8.2,10.2,71.7,**,S,**,**,**,**,**,*,**,**,,96.9,,76.5,61.2,61.2,66.3,51,51,66.3,71.4,20.4,"Under   $20,100","$20,100 To   $29,499","$29,500 To   $38,799","$38,800 To   $50,299","$50,300 To   $63,199","$63,200 To   $76,999","$77,000 To   $93,699","$93,700 To  $117,799","$117,800 To  $157,799","$157,800 and Over"
T9,2011,HHC05,Household Composition,All other 'couples with child(ren) only' households,3.8,,4.6,9.6,11.5,11.7,16.3,20.9,29.9,40.8,150.1,**,S,**,**,**,**,**,*,*,*,,86.7,,86.7,66.3,71.4,66.3,51,35.7,30.6,40.8,15.3,"Under   $20,100","$20,100 To   $29,499","$29,500 To   $38,799","$38,800 To   $50,299","$50,300 To   $63,199","$63,200 To   $76,999","$77,000 To   $93,699","$93,700 To  $117,799","$117,800 To  $157,799","$157,800 and Over"
T9,2011,HHC06,Household Composition,One parent with dependent child(ren) only,15.1,21.6,25.3,11.8,7.7,5.6,2.8,2.5,,,94.2,*,*,*,*,*,**,**,***,S,S,,40.8,30.6,35.7,40.8,51,76.5,81.6,112.2,,,15.3,"Under   $20,100","$20,100 To   $29,499","$29,500 To   $38,799","$38,800 To   $50,299","$50,300 To   $63,199","$63,200 To   $76,999","$77,000 To   $93,699","$93,700 To  $117,799","$117,800 To  $157,799","$157,800 and Over"
